order_id,order_date,year,month,month_name,quarter,customer_id,customer_segment,age_group,gender,country,region,city,sales_channel,traffic_source,category,sub_category,product_name,payment_method,shipping_method,campaign,quantity,unit_price_egp,discount_pct,revenue_egp,cost_egp,profit_egp,profit_margin,delivery_days,customer_rating,returned,website_visits_before_purchase
ORD-000025,2024-10-22,2024,10,October,Q4,CUST-00327,Premium,35-44,Male,Egypt,Greater Cairo,Giza,Marketplace,Paid Ads,Beauty,Makeup Kit,Makeup Kit Model Pro,Wallet,Standard,No Campaign,4,2141.86,0,8567.44,4072.71,4494.73,0.5246,8,4.0,No,4
ORD-000026,2024-11-26,2024,11,November,Q4,CUST-04507,Family,35-44,Female,Egypt,Canal & Sinai,Ismailia,Marketplace,Search Engine,Electronics,Laptop,Laptop Model A,Credit Card,Standard,Black Friday,1,72719.27,0.1992,58235.18,43873.15,14362.03,0.2466,3,4.9,No,6
ORD-000027,2025-04-10,2025,4,April,Q2,CUST-00113,Premium,45-54,Male,Egypt,Canal & Sinai,Sharm El Sheikh,Physical Store,Search Engine,Fashion,T-Shirt,T-Shirt Model Max,Cash,Store Pickup,Ramadan Sale,1,805.51,0.0983,726.29,442.02,284.27,0.3914,0,4.3,No,0
ORD-000028,2025-02-21,2025,2,February,Q1,CUST-04809,Young Professional,25-34,Female,Egypt,Alexandria Coast,Alexandria,Physical Store,Search Engine,Electronics,Smartphone,Smartphone Model Max,Bank Transfer,Store Pickup,No Campaign,2,20202.75,0.0008,40374.66,33819.0,6555.66,0.1624,1,4.4,No,0
ORD-000029,2025-11-06,2025,11,November,Q4,CUST-00823,Family,45-54,Female,Egypt,Alexandria Coast,Borg El Arab,Mobile App,Search Engine,Electronics,Tablet,Tablet Model Pro,Bank Transfer,Same Day,Black Friday,4,33927.17,0.2089,107365.89,80380.19,26985.7,0.2513,1,2.6,Yes,2
ORD-000030,2024-04-12,2024,4,April,Q2,CUST-02454,Premium,35-44,Female,Egypt,Greater Cairo,Giza,Online Store,Direct,Home & Kitchen,Microwave,Microwave Model A,Credit Card,Standard,Ramadan Sale,2,19286.31,0.1609,32368.2,22495.73,9872.47,0.305,8,3.4,No,4
ORD-000031,2024-02-17,2024,2,February,Q1,CUST-03619,Young Professional,25-34,Female,Egypt,Greater Cairo,New Cairo,Mobile App,Email,Fashion,T-Shirt,T-Shirt Model C,Cash,Standard,No Campaign,1,765.14,0.0028,763.0,479.2,283.8,0.372,5,4.1,No,1
ORD-000032,2025-08-24,2025,8,August,Q3,CUST-01121,Young Professional,18-24,Female,Egypt,Alexandria Coast,Borg El Arab,Online Store,Social Media,Books & Stationery,School Backpack,School Backpack Model Lite,Wallet,Store Pickup,Back to School,3,1080.62,0.0815,2977.77,1733.99,1243.78,0.4177,2,4.8,No,4
ORD-000033,2024-04-09,2024,4,April,Q2,CUST-03256,Premium,55+,Male,Egypt,Upper Egypt,Assiut,Mobile App,Social Media,Beauty,Hair Dryer,Hair Dryer Model Max,Wallet,Same Day,No Campaign,1,2422.53,0.0888,2207.53,1126.55,1080.98,0.4897,1,4.5,No,3
ORD-000034,2025-01-09,2025,1,January,Q1,CUST-04404,Premium,45-54,Female,Egypt,Alexandria Coast,Borg El Arab,Mobile App,Paid Ads,Fashion,Sneakers,Sneakers Model B,Cash,Same Day,New Year Deals,1,5817.76,0.0999,5236.85,3013.49,2223.36,0.4246,1,4.7,No,3
ORD-000035,2025-02-01,2025,2,February,Q1,CUST-00751,Premium,45-54,Female,Egypt,Canal & Sinai,Sharm El Sheikh,Mobile App,Social Media,Home & Kitchen,Microwave,Microwave Model Lite,Cash,Store Pickup,No Campaign,3,18482.5,0.0307,53743.42,33039.47,20703.95,0.3852,1,5,No,3
ORD-000036,2024-08-05,2024,8,August,Q3,CUST-02174,Student,18-24,Male,Egypt,Greater Cairo,New Cairo,Online Store,Social Media,Home & Kitchen,Blender,Blender Model A,Cash,Standard,No Campaign,1,4864.97,0.045,4646.04,2696.81,1949.23,0.4195,8,5,No,4
ORD-000037,2024-05-09,2024,5,May,Q2,CUST-01034,Premium,35-44,Male,Egypt,Greater Cairo,Cairo,Mobile App,Social Media,Beauty,Sunscreen,Sunscreen Model C,Wallet,Same Day,No Campaign,2,540.14,0.0267,1051.44,563.36,488.08,0.4642,1,4.3,No,5
ORD-000038,2025-10-01,2025,10,October,Q4,CUST-03886,Family,35-44,Female,Egypt,Delta,Damietta,Marketplace,Social Media,Beauty,Sunscreen,Sunscreen Model A,Credit Card,Same Day,No Campaign,2,658.69,0.0346,1271.78,632.6,639.18,0.5026,1,4.2,No,7
ORD-000039,2024-04-03,2024,4,April,Q2,CUST-04704,Family,35-44,Female,Egypt,Delta,Zagazig,Physical Store,Direct,Electronics,Smartphone,Smartphone Model B,Credit Card,Same Day,No Campaign,2,28702.63,0.0147,56563.23,47113.53,9449.7,0.1671,0,3.8,No,0
ORD-000040,2025-03-15,2025,3,March,Q1,CUST-04650,Family,25-34,Female,Egypt,Delta,Mansoura,Mobile App,Social Media,Books & Stationery,Desk Organizer,Desk Organizer Model Max,Cash,Express,No Campaign,4,354.35,0.0739,1312.67,606.23,706.44,0.5382,1,3.8,No,6
ORD-000041,2024-03-27,2024,3,March,Q1,CUST-04075,Family,35-44,Female,Egypt,Greater Cairo,Cairo,Online Store,Email,Electronics,Tablet,Tablet Model Lite,Bank Transfer,Store Pickup,No Campaign,1,17832.21,0.039,17136.69,12566.45,4570.24,0.2667,1,5,No,2
ORD-000042,2025-03-16,2025,3,March,Q1,CUST-02542,Premium,35-44,Male,Egypt,Greater Cairo,New Cairo,Online Store,Direct,Fashion,Handbag,Handbag Model Lite,Credit Card,Standard,Ramadan Sale,1,2903.46,0.1372,2505.24,1374.76,1130.48,0.4512,5,4.0,No,3
ORD-000043,2024-12-13,2024,12,December,Q4,CUST-05139,Young Professional,25-34,Female,Egypt,Alexandria Coast,Alexandria,Mobile App,Referral,Sports,Football,Football Model C,Debit Card,Express,New Year Deals,1,1170.94,0.0679,1091.41,560.51,530.9,0.4864,3,4.0,No,4
ORD-000044,2024-06-03,2024,6,June,Q2,CUST-02814,Young Professional,25-34,Male,Egypt,Greater Cairo,New Cairo,Mobile App,Search Engine,Home & Kitchen,Microwave,Microwave Model Lite,Cash,Standard,Summer Offers,1,11448.9,0.0874,10448.43,7504.9,2943.53,0.2817,7,4.8,No,2
ORD-000045,2024-03-27,2024,3,March,Q1,CUST-01057,Family,35-44,Female,Egypt,Delta,Damietta,Mobile App,Paid Ads,Electronics,Laptop,Laptop Model Max,Debit Card,Express,Ramadan Sale,1,36929.28,0.0933,33484.76,27280.28,6204.48,0.1853,2,4.7,No,2
ORD-000046,2025-12-26,2025,12,December,Q4,CUST-05063,Family,35-44,Male,Egypt,Delta,Zagazig,Physical Store,Referral,Fashion,Jacket,Jacket Model B,Wallet,Store Pickup,No Campaign,1,3788.46,0,3788.46,1934.56,1853.9,0.4894,2,4.9,No,0
ORD-000047,2025-09-03,2025,9,September,Q3,CUST-01636,Student,18-24,Female,Egypt,Upper Egypt,Sohag,Physical Store,Social Media,Electronics,Power Bank,Power Bank Model Max,Credit Card,Store Pickup,Back to School,1,730.18,0.1075,651.72,527.78,123.94,0.1902,1,3.0,No,0
ORD-000048,2024-05-21,2024,5,May,Q2,CUST-02747,Student,18-24,Male,Egypt,Delta,Zagazig,Mobile App,Paid Ads,Books & Stationery,Notebook Pack,Notebook Pack Model B,Credit Card,Standard,No Campaign,5,258.74,0.0144,1275.13,649.59,625.54,0.4906,7,5,No,5
ORD-000049,2024-05-20,2024,5,May,Q2,CUST-01982,Family,45-54,Male,Egypt,Delta,Tanta,Physical Store,Direct,Electronics,Smart Watch,Smart Watch Model Lite,Debit Card,Store Pickup,No Campaign,3,1699.54,0.0343,4923.91,3904.98,1018.93,0.2069,1,4.8,No,0
ORD-000050,2024-05-27,2024,5,May,Q2,CUST-00364,Young Professional,25-34,Male,Egypt,Delta,Tanta,Mobile App,Search Engine,Fashion,T-Shirt,T-Shirt Model C,Wallet,Express,No Campaign,3,484.39,0.072,1348.54,651.96,696.58,0.5165,1,4.3,No,2
ORD-000051,2025-07-13,2025,7,July,Q3,CUST-03015,Premium,45-54,Male,Egypt,Canal & Sinai,Sharm El Sheikh,Mobile App,Email,Beauty,Makeup Kit,Makeup Kit Model Pro,Credit Card,Standard,Summer Offers,1,3258.52,0.0587,3067.36,1459.49,1607.87,0.5242,4,4.1,No,3
ORD-000052,2025-02-13,2025,2,February,Q1,CUST-00470,Family,45-54,Female,Egypt,Greater Cairo,Giza,Mobile App,Paid Ads,Beauty,Makeup Kit,Makeup Kit Model A,Wallet,Standard,No Campaign,3,2290.41,0.0718,6377.79,3437.41,2940.38,0.461,6,4.6,No,1
ORD-000053,2025-11-18,2025,11,November,Q4,CUST-01525,Family,25-34,Female,Egypt,Delta,Mansoura,Online Store,Social Media,Fashion,Handbag,Handbag Model Pro,Credit Card,Standard,Black Friday,3,1262.68,0.1999,3030.92,1652.11,1378.81,0.4549,4,4.4,No,4
ORD-000054,2025-06-14,2025,6,June,Q2,CUST-01647,Family,25-34,Female,Egypt,Upper Egypt,Luxor,Online Store,Search Engine,Home & Kitchen,Cookware Set,Cookware Set Model B,Wallet,Express,Summer Offers,1,2999.42,0.1093,2671.71,1963.2,708.51,0.2652,2,4.6,No,2
ORD-000055,2024-08-30,2024,8,August,Q3,CUST-01058,Family,25-34,Male,Egypt,Alexandria Coast,Borg El Arab,Physical Store,Referral,Electronics,Tablet,Tablet Model Pro,Cash,Express,No Campaign,1,16530.66,0.0491,15719.53,12220.99,3498.54,0.2226,3,3.4,No,0
ORD-000056,2025-05-29,2025,5,May,Q2,CUST-02766,Young Professional,35-44,Female,Egypt,Upper Egypt,Aswan,Online Store,Search Engine,Books & Stationery,Notebook Pack,Notebook Pack Model Max,Debit Card,Express,No Campaign,5,140.88,0,704.4,349.84,354.56,0.5034,3,3.4,No,1
ORD-000057,2024-02-12,2024,2,February,Q1,CUST-02830,Premium,45-54,Female,Egypt,Greater Cairo,New Cairo,Physical Store,Referral,Sports,Football,Football Model Pro,Cash,Store Pickup,No Campaign,1,338.56,0,338.56,211.24,127.32,0.3761,2,4.2,No,0
ORD-000058,2024-05-13,2024,5,May,Q2,CUST-02891,Student,18-24,Female,Egypt,Alexandria Coast,Borg El Arab,Online Store,Paid Ads,Sports,Fitness Tracker,Fitness Tracker Model A,Cash,Standard,No Campaign,1,1857.36,0,1857.36,1033.23,824.13,0.4437,5,4.7,No,5
ORD-000059,2024-02-21,2024,2,February,Q1,CUST-02996,Student,18-24,Male,Egypt,Upper Egypt,Luxor,Online Store,Paid Ads,Fashion,Dress,Dress Model B,Cash,Standard,No Campaign,3,4046.8,0.0249,11837.65,6488.2,5349.45,0.4519,8,4.3,No,2
ORD-000060,2024-07-22,2024,7,July,Q3,CUST-05155,Premium,25-34,Female,Egypt,Greater Cairo,Giza,Physical Store,Paid Ads,Fashion,T-Shirt,T-Shirt Model A,Debit Card,Store Pickup,No Campaign,1,966.9,0.0578,910.97,567.76,343.21,0.3768,1,4.2,No,0
ORD-000061,2025-09-03,2025,9,September,Q3,CUST-01419,Family,25-34,Female,Egypt,Alexandria Coast,Marsa Matruh,Online Store,Social Media,Books & Stationery,Desk Organizer,Desk Organizer Model Pro,Cash,Store Pickup,Back to School,1,587.33,0.1835,479.56,278.98,200.58,0.4183,2,4.8,No,2
ORD-000062,2025-06-29,2025,6,June,Q2,CUST-01200,Young Professional,25-34,Male,Egypt,Delta,Zagazig,Mobile App,Social Media,Fashion,Handbag,Handbag Model C,Debit Card,Express,Summer Offers,4,1884.33,0.0852,6895.45,4213.81,2681.64,0.3889,2,5,No,1
ORD-000063,2024-02-13,2024,2,February,Q1,CUST-03334,Premium,35-44,Male,Egypt,Greater Cairo,6th of October,Physical Store,Search Engine,Fashion,Handbag,Handbag Model Lite,Cash,Store Pickup,No Campaign,2,3196.65,0.0237,6241.85,3253.36,2988.49,0.4788,0,4.2,No,0
ORD-000064,2025-05-02,2025,5,May,Q2,CUST-04451,Family,35-44,Male,Egypt,Delta,Zagazig,Online Store,Search Engine,Home & Kitchen,Air Fryer,Air Fryer Model Max,Cash,Express,No Campaign,1,6170.53,0.0252,6015.31,4295.03,1720.28,0.286,3,3.1,No,4
ORD-000065,2025-05-20,2025,5,May,Q2,CUST-00056,Premium,25-34,Female,Egypt,Upper Egypt,Luxor,Online Store,Direct,Books & Stationery,Programming Book,Programming Book Model C,Credit Card,Same Day,No Campaign,1,966.8,0.0269,940.75,560.26,380.49,0.4045,1,3.2,No,3
ORD-000066,2025-01-27,2025,1,January,Q1,CUST-04404,Young Professional,18-24,Male,Egypt,Greater Cairo,Cairo,Online Store,Paid Ads,Sports,Yoga Mat,Yoga Mat Model Lite,Credit Card,Express,New Year Deals,2,460.05,0.0675,857.97,570.47,287.5,0.3351,1,5.0,No,3
ORD-000067,2024-08-11,2024,8,August,Q3,CUST-03743,Family,25-34,Female,Egypt,Upper Egypt,Assiut,Mobile App,Search Engine,Beauty,Sunscreen,Sunscreen Model Max,Cash,Standard,No Campaign,1,880.28,0,880.28,393.46,486.82,0.553,7,3.6,No,3
ORD-000068,2024-02-29,2024,2,February,Q1,CUST-04418,Premium,45-54,Male,Egypt,Upper Egypt,Assiut,Mobile App,Paid Ads,Home & Kitchen,Microwave,Microwave Model B,Wallet,Store Pickup,No Campaign,3,5719.19,0.1333,14870.44,8700.36,6170.08,0.4149,1,5,No,3
ORD-000069,2025-10-31,2025,10,October,Q4,CUST-04866,Premium,45-54,Male,Egypt,Greater Cairo,6th of October,Mobile App,Paid Ads,Sports,Football,Football Model A,Debit Card,Standard,No Campaign,2,1112.1,0,2224.2,1296.51,927.69,0.4171,8,4.2,No,5
ORD-000070,2025-04-02,2025,4,April,Q2,CUST-03500,Young Professional,25-34,Male,Egypt,Greater Cairo,Cairo,Mobile App,Paid Ads,Beauty,Perfume,Perfume Model Max,Cash,Same Day,Ramadan Sale,1,4253.02,0.1907,3441.92,1924.23,1517.69,0.4409,0,5,No,6
ORD-000071,2025-05-22,2025,5,May,Q2,CUST-03040,Young Professional,25-34,Female,Egypt,Canal & Sinai,Sharm El Sheikh,Physical Store,Social Media,Electronics,Headphones,Headphones Model A,Cash,Express,No Campaign,1,1769.57,0.0041,1762.3,1382.61,379.69,0.2155,2,3.7,No,0
ORD-000072,2025-07-02,2025,7,July,Q3,CUST-04372,Young Professional,25-34,Male,Egypt,Greater Cairo,Cairo,Physical Store,Paid Ads,Electronics,Headphones,Headphones Model Lite,Cash,Store Pickup,No Campaign,1,4310.22,0,4310.22,3598.35,711.87,0.1652,2,4.5,No,0
ORD-000073,2025-01-02,2025,1,January,Q1,CUST-04019,Premium,35-44,Male,Egypt,Alexandria Coast,Marsa Matruh,Mobile App,Paid Ads,Fashion,Jacket,Jacket Model Pro,Debit Card,Standard,New Year Deals,1,4339.88,0.0462,4139.47,2170.45,1969.02,0.4757,4,4.3,No,2
ORD-000074,2024-06-21,2024,6,June,Q2,CUST-02349,Premium,35-44,Male,Egypt,Delta,Damietta,Online Store,Search Engine,Fashion,Jeans,Jeans Model A,Cash,Standard,No Campaign,1,2233.99,0.0346,2156.75,1266.49,890.26,0.4128,6,2.8,Yes,1
ORD-000075,2025-05-29,2025,5,May,Q2,CUST-01404,Student,18-24,Male,Egypt,Upper Egypt,Sohag,Online Store,Social Media,Sports,Running Shoes,Running Shoes Model A,Cash,Standard,No Campaign,1,3759.47,0.0248,3666.07,1993.53,1672.54,0.4562,8,4.3,No,4
ORD-000076,2025-05-26,2025,5,May,Q2,CUST-03188,Corporate,35-44,Male,Egypt,Alexandria Coast,Alexandria,Marketplace,Paid Ads,Sports,Yoga Mat,Yoga Mat Model Lite,Wallet,Standard,No Campaign,1,1168.12,0.0602,1097.75,555.38,542.37,0.4941,4,3.8,No,2
ORD-000077,2025-07-07,2025,7,July,Q3,CUST-05068,Corporate,25-34,Male,Egypt,Upper Egypt,Assiut,Mobile App,Social Media,Sports,Dumbbell Set,Dumbbell Set Model C,Debit Card,Express,Summer Offers,1,2293.08,0.0723,2127.3,1188.62,938.68,0.4413,2,4.0,No,3
ORD-000078,2024-09-09,2024,9,September,Q3,CUST-04584,Young Professional,18-24,Male,Egypt,Greater Cairo,Giza,Physical Store,Email,Electronics,Laptop,Laptop Model B,Credit Card,Store Pickup,No Campaign,1,69797.43,0,69797.43,50985.32,18812.11,0.2695,1,4.8,No,0
ORD-000079,2025-08-08,2025,8,August,Q3,CUST-02462,Young Professional,25-34,Male,Egypt,Greater Cairo,New Cairo,Online Store,Social Media,Beauty,Skincare Set,Skincare Set Model C,Credit Card,Store Pickup,Back to School,1,2039.74,0.0861,1864.19,848.58,1015.61,0.5448,1,4.5,No,2
ORD-000080,2025-09-09,2025,9,September,Q3,CUST-03352,Young Professional,35-44,Female,Egypt,Greater Cairo,6th of October,Marketplace,Email,Electronics,Headphones,Headphones Model Lite,Cash,Standard,No Campaign,1,4087.66,0,4087.66,3080.61,1007.05,0.2464,6,5,No,4
ORD-000081,2025-05-26,2025,5,May,Q2,CUST-03274,Premium,35-44,Male,Egypt,Greater Cairo,Giza,Physical Store,Search Engine,Electronics,Headphones,Headphones Model C,Credit Card,Store Pickup,No Campaign,2,3419.96,0,6839.92,5268.08,1571.84,0.2298,2,4.2,No,0
ORD-000082,2025-03-16,2025,3,March,Q1,CUST-03707,Family,35-44,Male,Egypt,Alexandria Coast,Marsa Matruh,Mobile App,Direct,Electronics,Laptop,Laptop Model C,Credit Card,Store Pickup,Ramadan Sale,1,42932.3,0.1265,37500.21,28552.51,8947.7,0.2386,1,3.7,No,1
ORD-000083,2024-03-09,2024,3,March,Q1,CUST-01686,Family,45-54,Male,Egypt,Greater Cairo,New Cairo,Physical Store,Direct,Sports,Football,Football Model C,Debit Card,Store Pickup,Ramadan Sale,2,1037.71,0.1256,1814.73,1167.95,646.78,0.3564,2,3.8,No,0
ORD-000084,2025-12-21,2025,12,December,Q4,CUST-00959,Young Professional,18-24,Female,Egypt,Upper Egypt,Aswan,Online Store,Search Engine,Electronics,Smartphone,Smartphone Model B,Wallet,Standard,No Campaign,1,35333.15,0.0652,33031.03,27610.97,5420.06,0.1641,8,4.0,No,4
ORD-000085,2025-01-17,2025,1,January,Q1,CUST-01807,Family,35-44,Male,Egypt,Delta,Damietta,Mobile App,Referral,Home & Kitchen,Coffee Machine,Coffee Machine Model C,Credit Card,Standard,No Campaign,1,11098.4,0.0493,10550.72,6135.6,4415.12,0.4185,8,4.6,No,3
ORD-000086,2024-02-03,2024,2,February,Q1,CUST-03597,Premium,35-44,Female,Egypt,Greater Cairo,6th of October,Mobile App,Paid Ads,Fashion,Dress,Dress Model A,Credit Card,Store Pickup,No Campaign,3,1307.67,0.0344,3788.25,2054.62,1733.63,0.4576,0,3.9,No,7
ORD-000087,2024-08-30,2024,8,August,Q3,CUST-02639,Young Professional,25-34,Male,Egypt,Upper Egypt,Aswan,Mobile App,Referral,Beauty,Hair Dryer,Hair Dryer Model B,Bank Transfer,Standard,Back to School,2,3801.25,0.1155,6724.24,3178.38,3545.86,0.5273,6,3.5,No,4
ORD-000088,2025-11-23,2025,11,November,Q4,CUST-02767,Student,18-24,Male,Egypt,Greater Cairo,6th of October,Mobile App,Social Media,Electronics,Power Bank,Power Bank Model Max,Cash,Store Pickup,Black Friday,2,1918.78,0.1602,3222.71,2496.19,726.52,0.2254,1,4.4,No,8
ORD-000089,2025-08-14,2025,8,August,Q3,CUST-01919,Family,25-34,Female,Egypt,Upper Egypt,Assiut,Online Store,Search Engine,Sports,Yoga Mat,Yoga Mat Model Pro,Cash,Same Day,Back to School,5,1376.96,0.1211,6050.9,3354.23,2696.67,0.4457,0,5.0,No,5
ORD-000090,2025-11-02,2025,11,November,Q4,CUST-00561,Family,25-34,Female,Egypt,Alexandria Coast,Alexandria,Mobile App,Referral,Electronics,Laptop,Laptop Model Max,Credit Card,Standard,Black Friday,2,68435.64,0.1957,110087.8,92317.27,17770.53,0.1614,5,3.8,No,1
